Cygwin Package Information
Package                             Version
libgtk2.0-devel                     2.24.27-1
libgtk2.0_0                         2.24.27-1
libgtk3-devel                       3.14.10-1
libgtk3_0                           3.14.10-1
libgtkimageview0                    1.6.4-1
libgtkmm2.4-devel                   2.24.4-1
libgtkmm2.4_1                       2.24.4-1
libguile17                          1.8.8-1
libharfbuzz-devel                   0.9.36-2
libharfbuzz-icu0                    0.9.36-2
libharfbuzz0                        0.9.36-2
libheimbase1                        1.5.3-1
libheimntlm0                        1.5.3-1
libhogweed2                         2.7-2
libhx509_5                          1.5.3-1
libICE-devel                        1.0.9-1
libICE6                             1.0.9-1
libiconv                            1.14-3
libiconv-devel                      1.14-3
libiconv2                           1.14-3
libicu-devel                        54.1-1
libicu51                            51.2-1
libicu54                            54.1-1
libid3tag0                          0.15.1b-10
libidn11                            1.29-1
libImlib2-devel                     1.4.6-1
libImlib2_1                         1.4.6-1
libintl-devel                       0.19.4-1
libintl8                            0.19.4-1
libiodbc2                           3.52.8-2
libisl-devel                        0.11.1-2
libisl10                            0.11.1-2
libjasper-devel                     1.900.1-15
libjasper1                          1.900.1-15
libjbig-devel                       2.0-14
libjbig2                            2.0-14
libjpeg-devel                       1.3.1-3
libjpeg8                            1.3.1-3
libjson-c-common                    0.11-2
libjson-c-devel                     0.11-2
libjson-c2                          0.11-2
libjson-glib1.0_0                   1.0.2-1
libk5crypto3                        1.13.1-1
libkafs0                            1.5.3-1
libkpathsea6                        20140523-3
libkrb5_26                          1.5.3-1
libkrb5_3                           1.13.1-1
libkrb5support0                     1.13.1-1
liblapack0                          3.5.0r1524-1
liblcms1                            1.19-5
liblcms2-devel                      2.6-1
liblcms2_2                          2.6-1
liblensfun-common                   0.2.7-1
liblensfun0                         0.2.7-1
libllvm3.4                          3.4.2-5
libltdl7                            2.4.6-1
liblzma-devel                       5.0.8-1
liblzma5                            5.0.8-1
liblzo2_2                           2.08-1
libMagickCore5                      6.7.6.3-4
libMagickCore6                      6.9.0.0-3
libmcpp0                            2.7.2-2
libmetalink3                        0.1.2-1
libming1                            0.4.5-2
libmng1                             1.0.10-1
libmpc-devel                        1.0.3-1
libmpc3                             1.0.3-1
libmpfr-devel                       3.1.2-2
libmpfr4                            3.1.2-2
libmysqlclient18                    5.5.41-2
libncurses-devel                    5.9-20150307-1
libncursesw10                       5.9-20150307-1
libneon27                           0.30.1-1
libnetpbm10                         10.66.02-3
libnettle-devel                     2.7-2
libnettle4                          2.7-2
libobjc4                            4.9.2-3
libogg                              1.3.1-1
libogg-devel                        1.3.1-1
libogg0                             1.3.1-1
libopenjpeg-devel                   1.5.2-2
libopenjpeg1                        1.5.2-2
libopenldap2_4_2                    2.4.40-2
libopenssl100                       1.0.2a-1
libOpenVG1                          10.3.7-1
liborc0.4_0                         0.4.23-1
libOSMesa8                          10.3.7-1
libosp5                             1.5.2-2
libostyle1                          1.4devel1-3
libp11-kit-devel                    0.20.7-1
libp11-kit0                         0.20.7-1
libpango1.0-devel                   1.36.8-1
libpango1.0_0                       1.36.8-1
libpangomm1.4-devel                 2.34.0-1
libpangomm1.4_1                     2.34.0-1
libpaper-common                     1.1.24-2
libpaper1                           1.1.24-2
libpcre-devel                       8.36-1
libpcre1                            8.36-1
libpcre16_0                         8.36-1
libpcre32_0                         8.36-1
libpcrecpp0                         8.36-1
libpcreposix0                       8.36-1
libphonon4                          4.8.3-1
libpipeline1                        1.3.0-3
libpixman1-devel                    0.32.6-1
libpixman1_0                        0.32.6-1
libplotter2                         2.6-4
libpng-devel                        1.6.16-1
libpng-doc                          1.6.16-1
libpng15                            1.5.21-2
libpng16                            1.6.16-1
libpng16-devel                      1.6.16-1
libpoppler28                        0.20.5-3
libpoppler44                        0.24.5-1
libpoppler46                        0.26.5-2
libpopt0                            1.16-1
libppl-devel                        0.11.2-2
libppl9                             0.11.2-2
libppl_c4                           0.11.2-2
libpq5                              9.4.1-1
libproxy1                           0.4.11-3
libpstoedit0                        3.70-1
libptexenc1                         20140523-3
libpulse-mainloop-glib0             5.0-2
libpulse0                           5.0-2
libpwl5                             0.11.2-2
libqscintilla2-common               2.8.4-1
libqscintilla2-devel                2.8.4-1
libqscintilla2_11                   2.8.4-1
libqt3                              3.3.8b-16
libQtCore4                          4.8.6-5
libQtDBus4                          4.8.6-5
libQtDeclarative4                   4.8.6-5
libQtDesigner4                      4.8.6-5
libQtGui4                           4.8.6-5
libQtHelp4                          4.8.6-5
libQtMultimedia4                    4.8.6-5
libQtNetwork4                       4.8.6-5
libQtOpenGL4                        4.8.6-5
libQtScript4                        4.8.6-5
libQtScriptTools4                   4.8.6-5
libQtSql4                           4.8.6-5
libQtSvg4                           4.8.6-5
libQtTest4                          4.8.6-5
libQtWebKit4                        4.8.6-5
libQtXml4                           4.8.6-5
libQtXmlPatterns4                   4.8.6-5
libquadmath0                        4.9.2-3
libqzeitgeist1                      0.8.0-2
libreadline-devel                   6.3.8-1
libreadline7                        6.3.8-1
librest0.7_0                        0.7.93-1
libroken18                          1.5.3-1
librsvg2-devel                      2.40.8-1
